busReq(req=3, addr=0x1ffffdfff90, proc=1): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1555555fdc0, proc=1): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1555555fdc0, proc=0): INVALID -> INVALID
busReq(req=2, addr=0x1555555fdc0, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1555555fdc0, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1555555fdc0, proc=1): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffffdfff80, proc=1): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffffdfff80, proc=0): MODIFIED -> INVALID
busReq(req=2, addr=0x1ffffdfff80, proc=2): INVALID -> INVALID
busReq(req=2, addr=0x1ffffdfff80, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffffdfff80, proc=1): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffffdfff90, proc=1): MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffffdfff10, proc=1): INVALID -> INVALID_MODIFIED
busReq(req=1, addr=0x15555562050, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x15555562050, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x15555562050, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x15555562050, proc=2): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x1ffff625a30, proc=2): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x1ffff625a30, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x1ffff625a30, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x1ffff625a30, proc=3): INVALID -> INVALID
busReq(req=3, addr=0x1ffff625a30, proc=2): INVALID_SHARED -> SHARED
permReq(read=1, addr=0x15555562050, proc=2): SHARED -> SHARED
permReq(read=1, addr=0x1ffff625a30, proc=2): SHARED -> SHARED
permReq(read=1, addr=0x1ffff61c1e0, proc=2): INVALID -> INVALID_SHARED
busReq(req=2, addr=0x1ffff88e780, proc=0): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e780, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e780, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x1ffff88e780, proc=3): INVALID_MODIFIED -> MODIFIED
permReq(read=0, addr=0x1ffff88e230, proc=3): INVALID -> INVALID_MODIFIED
busReq(req=2, addr=0x1ffff88e230, proc=0): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e230, proc=1): INVALID -> INVALID
busReq(req=2, addr=0x1ffff88e230, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x1ffff88e230, proc=3): INVALID_MODIFIED -> MODIFIED
permReq(read=1, addr=0x15555562060, proc=3): INVALID -> INVALID_SHARED
busReq(req=1, addr=0x15555562060, proc=0): INVALID -> INVALID
busReq(req=1, addr=0x15555562060, proc=1): INVALID -> INVALID
busReq(req=1, addr=0x15555562060, proc=2): INVALID -> INVALID
busReq(req=3, addr=0x15555562060, proc=3): INVALID_SHARED -> SHARED
permReq(read=0, addr=0x1ffff88e230, proc=3): MODIFIED -> MODIFIED
permReq(read=1, addr=0x1ffff61c170, proc=3): SHARED -> SHARED
permReq(read=1, addr=0x1ffff625a40, proc=3): SHARED -> SHARED
permReq(read=1, addr=0x1ffff61c1f0, proc=3): INVALID -> INVALID_SHARED
busReq(req=2, addr=0x1ffff612090, proc=1): INVALID -> INVALID
